"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17210","View Candidate","firefox","2026-08-10","passed","2026-08-10","","viewCandidate.spec.js","",""
"","29945","Basic Candidate","chromium","2026-08-10","passed","2026-08-10","","communication.spec.js","",""
"","150048","Create Candidate - Edge Case","webkit","2026-08-10","broken","2026-08-10","","createCandidateEdge.spec.js","",""
"","150052","Edit Candidate","firefox","2026-08-10","broken","2026-08-10","","editCandidate.spec.js","",""
"","18148","Create Candidate - Edge Case","firefox","2026-08-10","passed","2026-08-10","","createCandidateEdge.spec.js","",""
"","150074","Basic Candidate","firefox","2026-08-10","broken","2026-08-10","","basicCandidate.spec.js","",""
"","18209","Edit Candidate","webkit","2026-08-10","passed","2026-08-10","","editCandidate.spec.js","",""
"","26116","Create Candidate - Positive","firefox","2026-08-10","passed","2026-08-10","","createCandidatePositive.spec.js","",""
"","10948","Create Candidate - Positive","webkit","2026-08-10","passed","2026-08-10","","createCandidatePositive.spec.js","",""
"","150066","Basic Candidate","firefox","2026-08-10","broken","2026-08-10","","communication.spec.js","",""
"","16691","Create Candidate - Positive","chromium","2026-08-10","passed","2026-08-10","","createCandidatePositive.spec.js","",""
"","150022","Edit Candidate","chromium","2026-08-10","broken","2026-08-10","","editCandidate.spec.js","",""
"","25388","Basic Candidate","webkit","2026-08-10","passed","2026-08-10","","basicCandidate.spec.js","",""
"","150051","Basic Candidate","webkit","2026-08-10","broken","2026-08-10","","communication.spec.js","",""
"","23239","Create Candidate - Edge Case","chromium","2026-08-10","passed","2026-08-10","","createCandidateEdge.spec.js","",""
"","150036","View Candidate","chromium","2026-08-10","broken","2026-08-10","","viewCandidate.spec.js","",""
"","24954","Basic Candidate","chromium","2026-08-10","passed","2026-08-10","","basicCandidate.spec.js","",""
"","23382","Create Candidate - Negative","chromium","2026-08-10","passed","2026-08-10","","createCandidateNegative.spec.js","",""
"","17056","View Candidate","webkit","2026-08-10","passed","2026-08-10","","viewCandidate.spec.js","",""
"","150083","Create Candidate - Negative","webkit","2026-08-10","broken","2026-08-10","","createCandidateNegative.spec.js","",""
"","17902","Create Candidate - Negative","firefox","2026-08-10","passed","2026-08-10","","createCandidateNegative.spec.js","",""
